ID,Edad ,Age,Gender,Municipalitie,Ecosystem,Community,Place,Reproduccion ,Associated,Abundace,Ene,Feb,Mar,Abr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Threats,Cotomaquilitl,Xoxoco,Pitzahuaquilitl,Xaxalto,Huitzioquilitl,Michiquilitl,Teposquilitl,Xoxoco1,Huaquilitlpoxahuac,Huaquilitlixtac,YamoleoTototlquilitl,Atetziltzi,Cayochoquilitl,Xoxoco2,Chichikquilitl,Index1,Index,Cotomaquilitl,Xoxoco_C,Pitzahuaquilitl_C,Xaxalto_C,Huitzioquilitl_C,Michiquilitl_C,Teposquilitl_C,Xoxoco1_C,Huaquilitl poxahuac_C,Huaquilitl ixtac_C,YamoleoTototlquilitl_C,Atetziltzi_C,Cayochoquilitl_C,Xoxoco2_C,Chichikquilitl_C,Observaciones_C
17,42,42-55,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Regeneracion natural y siembra,Milpa,Había más,0,0,0,0,0,1,1,1,0,0,0,0,Uso de quimicos,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,26.7,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
18,46,42-55,M,Tlaquilpa,Pine-oak forest,Pixcuahutla,"Monte, Acahual",Regeneracion natural,Milpa,Había más,0,0,0,0,1,1,1,0,0,0,0,0,"Animales domesticos, Uso de quimicos",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,5,33.3,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0
19,64,56-90,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,"Monte, Acahual",Regeneracion natural y siembra,Milpa,Había más,0,0,0,0,1,1,1,0,0,0,0,0,"Animales domesticos, Uso de quimicos",0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,5,33.3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
20,68,56-90,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,"Monte, Acahual",Regeneracion natural y siembra,Milpa,Había más,0,0,0,0,1,1,1,0,0,0,0,0,Animales domesticos,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,20,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0
21,32,31-41,F,Los Reyes,Montane cloud forest,Atlanca ,"milpa, huerto",siembra,"milpa, hortalizas ",Había más,0,0,0,1,1,1,1,0,0,0,0,0,No valoran los quelites y los cortan sin darles algún uso  ,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,7,46.7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
22,28,18-30,M,Los Reyes,Montane cloud forest,Atlanca,"milpa, cafetal",siembra,"milpa, café",Había más,0,0,0,0,0,1,1,1,0,0,0,0,Los chapeos y los animales domésticos,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5,33.3,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,"cojoquilitl, macuilquilitl"
23,35,31-41,F,Los Reyes,Montane cloud forest,Atlanca,monte,regeneración natural,"elites, lengua de vaca etc.",Había más,0,0,0,0,0,0,1,0,0,0,0,0,Animales domésticos ,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,4,26.7,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0
24,67,56-90,F,Los Reyes,Montane cloud forest,Atlanca,cafetal,"siembran , regeneración natural",café,Había más,0,0,0,0,0,0,1,1,0,0,0,0,Cambios climáticos y los animales domésticos. ,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,5,33.3,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0
25,35,31-41,F,Los Reyes,Montane cloud forest,Atlanca ,"milpa, monte, traspatio","regeneración natural, siembra ",milpa,Había más,0,0,0,0,0,1,1,0,0,0,0,0,Animales domésticos ,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,4,26.7,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0
26,40,31-41,M,Los Reyes,Montane cloud forest,Atlanca,cultivos de traspatio,siembra,hortalizas ,Había más,0,0,0,0,0,1,1,0,0,0,0,0,"No lo siembran, sin manejo   ",1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,7,46.7,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0
